id,name,family,mode,bars,steps,subdivision,density,polyphony,minNote,maxNote,colour,tags,bank,harmonyId,studyId,nodeId
"fourth-7b89489add20c39f4cf34bc7","Kaleidoscope R0442 - kit 8b","Kaleidoscope","rhythmic","8","256","8","0.890625","2.0350877192982457","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 8bar, straight, 8spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-9","nmsgyce1b_3"
"fourth-456f3cdee748e9529820991c","Kaleidoscope R0443 - kit 4b","Kaleidoscope","rhythmic","4","96","6","0.9583333333333334","1.7608695652173914","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 4bar, triplet, 6spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-37","nmsgygm84_6"
"fourth-7a6ef3ad14dbe10ee22c2a2b","Kaleidoscope R0444 - kit 0.5b","Kaleidoscope","rhythmic","0.5","8","4","1","2.5","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-28","nmsj94lub_3"
"fourth-7c0f3200fd440e9675b26873","Kaleidoscope R0445 - percussion 1b","Kaleidoscope","rhythmic","1","16","4","0.8125","1.3076923076923077","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, percussion, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-42","nmsj94lub_3"
"fourth-4994d4068b0f9c35080ca891","Kaleidoscope R0446 - kit 1b","Kaleidoscope","rhythmic","1","16","4","0.9375","1.8666666666666667","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-33","nmsgygm84_6"
"fourth-fb93015b402d0363cd9e3725","Kaleidoscope R0447 - kit 2b","Kaleidoscope","rhythmic","2","16","2","0.875","2.2142857142857144","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 2spq, dense, kit, anchored, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-62","nmsj93mq4_1"
"fourth-f999fbed311c66beaec73700","Kaleidoscope R0448 - kit 8b","Kaleidoscope","rhythmic","8","256","8","0.796875","1.7450980392156863","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 8bar, straight, 8spq, dense, kit, displaced, tight, cell, 8lane, 3bit","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-60","nmsgyce1b_3"
"fourth-c8b5c31d0f1adb50a5db7cd6","Kaleidoscope R0449 - kit 0.5b","Kaleidoscope","rhythmic","0.5","8","4","1","2.625","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-57","nmsgygm84_6"
"fourth-0b05e44061e97b4ba9187eb2","Kaleidoscope R0450 - kit 1b","Kaleidoscope","rhythmic","1","8","2","0.75","3","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 1bar, straight, 2spq, dense, kit, anchored, tight, structure, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-22","nmsj93mq4_1"
"fourth-e5b79a8cb31d8a79bfd61dbc","Kaleidoscope R0451 - percussion 0.5b","Kaleidoscope","rhythmic","0.5","8","4","1","1.625","39","45","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 4spq, dense, percussion, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-26","nmsgyce1b_3"
"fourth-cadc17f86b0b78a88f10022c","Kaleidoscope R0452 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.875","1.8928571428571428","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-5","nmsgygm84_6"
"fourth-613e05f3d0073ed39f301e37","Kaleidoscope R0453 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.9375","1.9333333333333333","36","51","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-58","nmsj94lub_3"
"fourth-6b7fa361b16ac04761404682","Kaleidoscope R0454 - kit 2b","Kaleidoscope","rhythmic","2","32","4","0.90625","2.896551724137931","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 2bar, straight, 4spq, dense, kit, displaced, tight, composite, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-42","nmsj94lub_3"
"fourth-96bbb7ef3ebb6e20256d40d9","Kaleidoscope R0455 - kit 0.5b","Kaleidoscope","rhythmic","0.5","4","2","0.5","1.5","36","42","#E58DB8","factory, rn, kaleidoscope, rhythmic, 0.5bar, straight, 2spq, open, kit, displaced, tight, cell, 8lane, 3bit, even","banks/08-kaleidoscope-rhythmic.nseqbank","","fourth-atlas-3-23","nmsgyce1b_3"
